,Store,SL SKU Đặt,Nhóm Store,SL SKU Sai,DS SKU Sai
47,217,4,G2,1,[3521830]
50,255,7,G2,3,[3377146 3448140 3570365]
51,239,6,G2,1,[3410200]
52,404,5,G2,1,[3503826]
54,246,13,G3,8,[3415114 3415117 3464311 3464312 3464313 3556069 3562566 3576803]
58,279,1,G2,1,[3503826]
59,625,1,G1,1,[3448140]
60,233,3,G2,2,[3577458 3577459]
62,212,9,G3,6,[3418310 3418312 3418313 3418315 3426465 3426466]
64,226,11,G3,2,[3525339 3531079]
65,228,15,G2,8,[3418307 3418310 3418312 3418313 3418315 3422273 3426465 3456048]
66,229,10,G3,1,[3576803]
67,236,8,G3,2,[3553588 3570364]
68,410,7,G2,4,[3418310 3418312 3418313 3426465]
69,256,9,G4,2,[3369505 3570364]
71,261,17,G2,9,[3418307 3418309 3418310 3418312 3418313 3418315 3433708 3553587 3570364]
72,262,8,G2,3,[3369505 3456048 3503826]
75,278,8,G4,2,[3418310 3426465]
78,287,8,G1,1,[3369506]
82,221,9,G2,1,[3370367]
85,230,11,G3,3,[3418312 3418313 3426465]
88,243,7,G1,7,[3176166 3176167 3176168 3176169 3355162 3503826 3570194]
89,244,7,G2,1,[3418307]
90,275,13,G2,8,[3410200 3418307 3418309 3418313 3448140 3503826 3570364 3570365]
92,249,12,G3,4,[3318531 3418307 3418310 3426465]
93,254,7,G3,2,[3421977 3553588]
94,263,16,G2,4,[3301038 3422273 3503826 3570364]
96,276,7,G3,1,[3369507]
97,270,1,G1,1,[3503826]
98,281,2,G2,2,[3371969 3570365]
99,282,5,G1,1,[3570194]
100,284,12,G2,6,[3301038 3369505 3369506 3369507 3535592 3570364]
104,294,1,G2,1,[3448140]
105,296,8,G1,8,[3448140 3457682 3503826 3553587 3553588 3570194 3570195 3570364]
106,298,6,G3,1,[3576803]
109,402,10,G3,2,[3531079 3531080]
110,405,12,G2,1,[3570364]
111,406,8,G3,1,[3576803]
112,626,7,G1,2,[3503826 3573568]
113,629,4,G1,4,[3369505 3369506 3456048 3503826]
114,638,7,G4,1,[3570364]
115,630,5,G3,2,[3553587 3553588]
116,631,1,G1,1,[3456048]
120,634,8,G2,1,[3448140]
121,635,5,G2,1,[3503826]
124,640,7,G2,3,[3448140 3503826 3570365]
127,643,8,G1,1,[3570194]
128,644,9,G2,3,[3369506 3418307 3553738]
129,645,8,G1,4,[3448140 3503826 3556066 3570365]
130,647,8,G2,1,[3570365]
131,648,6,G1,2,[3557672 3570194]
137,657,8,G2,1,[3503826]
140,665,3,G2,2,[3448140 3503826]
142,671,1,G1,1,[3570194]
147,683,8,G2,2,[3301557 3503826]
149,690,6,G2,1,[3410200]
150,9302,5,G1,1,[3410200]
152,687,2,G1,1,[3570194]
157,693,4,G2,1,[3410200]
166,9205,6,G2,1,[3369504]
168,2005,10,G2,2,[3448140 3525338]
172,2009,6,G2,1,[3503826]
175,9208,6,G2,2,[3456048 3503826]
176,2014,1,G2,1,[3369504]
182,2019,4,G2,1,[3369504]
186,2025,4,G1,1,[3570194]
193,2032,3,G1,1,[3570194]
197,2041,6,G2,1,[3448140]
202,2046,9,G2,1,[3369504]
209,2059,13,G1,5,[3355162 3448140 3546242 3546243 3570365]
214,2065,9,G2,2,[3456048 3503826]
216,2066,5,G2,1,[3410200]
217,9313,7,G1,1,[3369504]
218,2069,7,G2,1,[3448140]
219,2072,9,G2,3,[3410200 3448140 3503826]
221,2073,2,G2,1,[3410200]
252,2105,2,G1,1,[3570194]
268,2121,5,G1,1,[3570194]
270,2124,3,G1,2,[3435319 3435320]
285,2141,2,G1,1,[3557672]
312,2167,22,G1,1,[3065920]
314,2169,2,G1,1,[3557672]
316,9215,1,G1,1,[3557672]
319,2172,10,G1,1,[3557672]
321,2174,1,G1,1,[3570194]
323,2175,8,G1,2,[3557672 3570194]
324,2176,6,G1,2,[3557672 3570194]
